timestamp,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command,command_encoded
2026-02-01 17:44:36.612944,59,54,809095,98308,16166,8090,6708,10839,4000,35704,s,3
2026-02-01 17:44:37.609886,56,49,724442,90618,11222,9999,6548,12538,5080,33201,s,3
2026-02-01 17:44:38.626380,54,43,632385,57781,24308,20857,8529,23619,9939,48328,s,3
2026-02-01 17:44:39.594181,57,43,717109,41053,26888,21427,7990,19763,8832,29503,s,3
2026-02-01 17:44:40.588998,60,48,973485,60663,24446,19487,8097,20991,8507,28677,s,3
2026-02-01 17:44:41.600514,63,56,802863,58415,7783,7997,4764,7473,3390,11528,s,3
2026-02-01 17:44:42.575564,60,57,699288,58357,33687,18412,5226,16281,4169,28452,s,3
2026-02-01 17:45:09.414755,11,39,327806,120186,22764,8893,7504,9950,2720,74366,s,3
2026-02-01 17:45:10.397473,13,47,666005,123321,18343,7790,5323,8918,2747,53625,s,3
2026-02-01 17:45:11.389809,11,27,1183025,444162,150502,40531,81474,72995,18768,111050,s,3
2026-02-01 17:45:12.379749,19,26,1199226,368320,139350,37356,79889,67442,16711,83097,s,3
2026-02-01 17:45:13.375070,34,37,1042713,365266,139316,38237,79789,67428,16825,79402,s,3
2026-02-01 17:45:14.357290,48,52,659421,50548,9071,11605,6065,15597,5415,26086,s,3
2026-02-01 17:45:15.376171,58,62,1071807,170696,33096,14120,8796,20668,6793,50748,s,3
2026-02-01 17:45:16.372225,60,63,1388407,342060,206032,34058,56864,59697,30780,172230,s,3
2026-02-01 17:45:17.337413,59,60,1295368,301693,202537,27853,54729,47087,26308,158231,s,3
2026-02-01 17:45:18.333671,58,59,832493,193683,185143,27543,53087,45687,26171,140102,s,3
2026-02-01 17:45:42.172686,28,39,1362694,261848,268771,26199,32037,26422,10762,487321,s,3
2026-02-01 17:45:43.164938,44,57,682460,70343,23968,10072,14829,7538,7603,143026,s,3
2026-02-01 17:45:44.160868,44,48,869888,80444,26357,12240,13657,7356,6222,47382,s,3
2026-02-01 17:45:45.150405,42,50,521269,117649,15515,26413,9721,23365,6422,60993,s,3
2026-02-01 17:45:46.162769,38,49,787909,119724,13418,27479,12227,24697,7945,58966,s,3
2026-02-01 17:45:47.142855,36,46,1082880,266997,53049,41397,22642,33592,17246,76784,s,3
2026-02-01 17:45:48.139207,37,42,1074095,250490,52723,28261,24924,16001,15138,70852,s,3
2026-02-01 17:45:49.123033,39,36,1087385,272518,108434,38366,24375,31144,20941,76012,s,3
2026-02-01 17:45:50.124226,40,40,1032534,323683,77208,55764,64381,41631,70776,123096,s,3
2026-02-01 17:45:51.110428,40,44,1286256,338132,85100,68615,65769,61767,76539,219009,s,3
2026-02-01 17:46:15.949421,31,43,662794,187092,50570,41558,25419,17176,39809,223397,s,3
2026-02-01 17:46:16.934697,44,68,958907,185234,52264,44638,30644,22421,40258,223805,s,3
